Study ID,Last Run Date,Last Run Time,Last Successful Run Date,Last Successful Run Time,Next Run Date,Next Run Time,Occurrence,Estimated Execution Time,N: File Count,N: Total File Size (MB),Number of Outdated Files Present,Problem Detected
EAY191-N4,2023-09-20,00:30:00,2023-09-20,00:30:00,2023-09-21,00:30:00,Daily,00:00:00,68.0,9.71,0,
NRG-BN001,2023-09-20,01:10:00,2023-09-20,01:10:00,2023-09-21,01:00:00,Daily,00:10:00,61.0,1006.35,0,
NRG-BN002,2023-09-19,01:20:00,2023-09-19,01:20:00,2023-09-26,01:05:00,Weekly,00:15:00,,,0,
NRG-BN003,2023-09-20,01:10:00,2023-09-20,01:10:00,2023-09-21,01:10:00,Daily,00:00:00,51.0,94.95,0,
NRG-BN005,2023-09-20,01:20:00,2023-09-20,01:20:00,2023-09-21,01:15:00,Daily,00:05:00,62.0,131.15,0,
NRG-BN007,2023-09-20,01:20:00,2023-09-20,01:20:00,2023-09-21,01:20:00,Daily,00:00:00,73.0,893.91,0,
NRG-BN009,2023-09-20,01:10:00,2023-09-20,01:10:00,2023-09-21,00:55:00,Daily,00:15:00,65.0,12.08,0,
NRG-BN010,2023-09-20,04:00:00,2023-09-20,04:00:00,2023-09-21,03:59:00,Daily,00:01:00,63.0,32.69,0,
NRG-BN011,2023-09-19,23:30:00,2023-09-19,23:30:00,2023-09-20,23:24:57,Daily,00:05:03,62.0,184.46,62,[D] Outdated Files Detected
NRG-BN012,2023-09-20,07:50:00,2023-09-20,07:50:00,2023-09-21,07:45:00,Daily,00:05:00,51.0,19.68,0,
NRG-BR001,2023-09-19,01:30:00,2023-09-19,01:30:00,2023-09-26,01:25:00,Weekly,00:05:00,,,0,
NRG-BR002,2023-09-20,02:30:00,2023-09-20,02:30:00,2023-09-21,02:30:00,Daily,00:00:00,55.0,122.72,0,
NRG-BR003,2023-09-19,01:40:00,2023-09-19,01:40:00,2023-09-26,01:35:00,Weekly,00:05:00,,,0,
NRG-BR004,2023-09-20,05:10:00,2023-09-20,05:10:00,2023-09-21,05:10:00,Daily,00:00:00,88.0,2673.42,0,
NRG-BR005,2023-09-20,01:50:00,2023-09-20,01:50:00,2023-09-21,01:45:00,Daily,00:05:00,35.0,27.31,0,
NRG-BR007,2023-09-20,01:50:00,2023-09-20,01:50:00,2023-09-21,01:50:00,Daily,00:00:00,72.0,431.33,0,
NRG-CC003,2023-09-20,02:10:00,2023-09-20,02:10:00,2023-09-21,02:05:00,Daily,00:05:00,82.0,537.34,0,
NRG-CC004,2023-09-20,02:10:00,2023-09-20,02:10:00,2023-09-21,02:10:00,Daily,00:00:00,43.0,229.14,0,
NRG-CC005,2023-09-20,04:10:00,2023-09-20,04:10:00,2023-09-21,04:05:00,Daily,00:05:00,46.0,188.58,0,
NRG-CC007CD,2023-09-20,02:20:00,2023-09-20,02:20:00,2023-09-21,02:15:00,Daily,00:05:00,34.0,174.17,0,
NRG-CC008,2023-09-20,02:20:00,2023-09-20,02:20:00,2023-09-21,02:20:00,Daily,00:00:00,63.0,295.2,0,
NRG-CC009,2023-09-20,02:30:00,2023-09-20,02:30:00,2023-09-21,02:25:00,Daily,00:05:00,65.0,57.76,0,
NRG-CC010,2023-09-19,18:40:00,2023-09-19,18:40:00,2023-09-20,18:35:00,Daily,00:05:00,43.0,10.52,43,[D] Outdated Files Detected
NRG-DT001,2023-09-20,02:30:00,2023-09-20,02:30:00,2023-09-21,02:30:00,Daily,00:00:00,54.0,129.86,0,
NRG-GI002,2023-09-19,02:40:00,2023-09-19,02:40:00,2023-09-26,02:35:00,Weekly,00:05:00,,,0,
NRG-GI003,2023-09-20,02:40:00,2023-09-20,02:40:00,2023-09-21,02:40:00,Daily,00:00:00,48.0,163.12,0,
NRG-GI004,2023-09-20,02:50:00,2023-09-20,02:50:00,2023-09-21,02:50:00,Daily,00:00:00,56.0,425.92,0,
NRG-GI005,2023-09-16,03:00:00,2023-09-16,03:00:00,2023-09-23,02:55:00,Weekly,00:05:00,,,0,
NRG-GI006,2023-09-20,03:00:00,2023-09-20,03:00:00,2023-09-21,03:00:00,Daily,00:00:00,73.0,389.66,0,
NRG-GI007,2023-09-20,04:40:00,2023-09-20,04:40:00,2023-09-21,04:40:00,Daily,00:00:00,51.0,15.13,0,
NRG-GI008,2023-09-20,03:50:00,2023-09-20,03:50:00,2023-09-21,03:43:00,Daily,00:07:00,60.0,111.4,0,
NRG-GU002,2023-09-20,03:10:00,2023-09-20,03:10:00,2023-09-21,03:05:00,Daily,00:05:00,49.0,242.73,0,
NRG-GU003,2023-09-20,03:10:00,2023-09-20,03:10:00,2023-09-21,03:10:00,Daily,00:00:00,47.0,256.5,0,
NRG-GU005,2023-09-20,03:20:00,2023-09-20,03:20:00,2023-09-21,03:15:00,Daily,00:05:00,54.0,703.07,0,
NRG-GU006,2023-09-20,03:20:00,2023-09-20,03:20:00,2023-09-21,03:20:00,Daily,00:00:00,50.0,460.88,0,
NRG-GU007,2023-09-20,03:30:00,2023-09-20,03:30:00,2023-09-21,03:25:00,Daily,00:05:00,44.0,82.3,0,
NRG-GU008,2023-09-20,03:30:00,2023-09-20,03:30:00,2023-09-21,03:30:00,Daily,00:00:00,59.0,348.29,0,
NRG-GU009,2023-09-20,04:40:00,2023-09-20,04:40:00,2023-09-21,04:35:00,Daily,00:05:00,9.0,87.94,9,[D] Outdated Files Detected
NRG-GU010,2023-09-20,04:50:00,2023-09-20,04:50:00,2023-09-21,04:45:00,Daily,00:05:00,60.0,452.75,0,
NRG-GU011,2023-09-20,04:20:00,2023-09-20,04:20:00,2023-09-21,04:15:00,Daily,00:05:00,58.0,64.04,0,
NRG-GU012,2023-02-15,16:43:51,,,2023-02-15,16:51:56.963000,Daily,,59.0,6.03,0,
