Study ID,Last Run Date,Last Run Time,Last Successful Run Date,Last Successful Run Time,Next Run Date,Next Run Time,Occurrence,Estimated Execution Time,N: File Count,N: Total File Size (MB),Problem Detected
NRG-BN001,2022-05-22,01:23:51,2022-05-22,01:23:51,2022-05-23,01:00:00,Daily,00:23:51,61.0,890.75,
NRG-BN002,2022-05-17,01:23:51,2022-05-17,01:23:51,2022-05-24,01:05:00,Weekly,00:18:51,,,
NRG-BN003,2022-05-22,01:23:51,2022-05-22,01:23:51,2022-05-23,01:10:00,Daily,00:13:51,51.0,84.11,
NRG-BN005,2022-05-22,01:23:51,2022-05-22,01:23:51,2022-05-23,01:15:00,Daily,00:08:51,62.0,94.27,
NRG-BN007,2022-05-22,01:23:51,2022-05-22,01:23:51,2022-05-23,01:20:00,Daily,00:03:51,73.0,633.01,
NRG-BN009,2022-05-22,01:23:51,2022-05-22,01:23:51,2022-05-23,00:55:00,Daily,00:28:51,65.0,32.58,
NRG-BN010,2022-05-22,04:03:51,2022-05-22,04:03:51,2022-05-23,03:59:00,Daily,00:04:51,63.0,32.18,
NRG-BN011,2022-05-21,23:33:51,2022-05-21,23:33:51,2022-05-22,23:24:57,Daily,00:08:54,62.0,30.17,
NRG-BR001,2022-05-17,01:43:51,2022-05-17,01:43:51,2022-05-24,01:25:00,Weekly,00:18:51,,,
NRG-BR002,2022-05-22,02:33:51,2022-05-22,02:33:51,2022-05-23,02:30:00,Daily,00:03:51,55.0,134.48,
NRG-BR003,2022-05-17,01:43:51,2022-05-17,01:43:51,2022-05-24,01:35:00,Weekly,00:08:51,,,
NRG-BR004,2022-05-22,01:43:51,2022-05-22,01:43:51,2022-05-23,01:40:00,Daily,00:03:51,85.0,2487.77,
NRG-BR005,2022-05-22,01:53:51,2022-05-22,01:53:51,2022-05-23,01:45:00,Daily,00:08:51,33.0,36.59,
NRG-BR007,2022-05-22,01:53:51,2022-05-22,01:53:51,2022-05-23,01:50:00,Daily,00:03:51,72.0,113.8,
NRG-CC003,2022-05-22,02:13:51,2022-05-22,02:13:51,2022-05-23,02:05:00,Daily,00:08:51,82.0,496.31,
NRG-CC004,2022-05-22,02:13:51,2022-05-22,02:13:51,2022-05-23,02:10:00,Daily,00:03:51,43.0,235.03,
NRG-CC005,2022-05-22,04:13:51,2022-05-22,04:13:51,2022-05-23,04:05:00,Daily,00:08:51,46.0,26.79,
NRG-CC007CD,2022-05-22,02:23:51,2022-05-22,02:23:51,2022-05-23,02:15:00,Daily,00:08:51,34.0,141.88,
