Study ID,Last Run Date,Last Run Time,Last Successful Run Date,Last Successful Run Time,Next Run Date,Next Run Time,Occurrence,Estimated Execution Time,N: File Count,N: Total File Size (MB),Problem Detected
EAY191-N4,2023-08-21,00:40:00,2023-08-21,00:40:00,2023-08-22,00:30:00,Daily,00:10:00,,,[B] Zip file process ran but missing files in N drive
NRG-BN001,2023-08-21,01:00:00,2023-08-21,01:00:00,2023-08-22,01:00:00,Daily,00:00:00,,,[B] Zip file process ran but missing files in N drive
NRG-BN002,2023-08-15,01:20:00,2023-08-15,01:20:00,2023-08-22,01:05:00,Weekly,00:15:00,,,
NRG-BN003,2023-08-21,01:10:00,2023-08-21,01:10:00,2023-08-22,01:10:00,Daily,00:00:00,,,[B] Zip file process ran but missing files in N drive
NRG-BN005,2023-08-21,01:20:00,2023-08-21,01:20:00,2023-08-22,01:15:00,Daily,00:05:00,,,[B] Zip file process ran but missing files in N drive
NRG-BN007,2023-08-21,01:20:00,2023-08-21,01:20:00,2023-08-22,01:20:00,Daily,00:00:00,,,[B] Zip file process ran but missing files in N drive
NRG-BN009,2023-08-21,01:00:00,2023-08-21,01:00:00,2023-08-22,00:55:00,Daily,00:05:00,,,[B] Zip file process ran but missing files in N drive
NRG-BN010,2023-08-21,04:00:00,2023-08-21,04:00:00,2023-08-22,03:59:00,Daily,00:01:00,,,[B] Zip file process ran but missing files in N drive
NRG-BN011,2023-08-20,23:30:00,2023-08-20,23:30:00,2023-08-21,23:24:57,Daily,00:05:03,,,
NRG-BN012,2023-08-21,07:50:00,2023-08-21,07:50:00,2023-08-22,07:45:00,Daily,00:05:00,,,[B] Zip file process ran but missing files in N drive
NRG-BR001,2023-08-15,01:30:00,2023-08-15,01:30:00,2023-08-22,01:25:00,Weekly,00:05:00,,,
NRG-BR002,2023-08-21,02:30:00,2023-08-21,02:30:00,2023-08-22,02:30:00,Daily,00:00:00,,,[B] Zip file process ran but missing files in N drive
NRG-BR003,2023-08-15,01:40:00,2023-08-15,01:40:00,2023-08-22,01:35:00,Weekly,00:05:00,,,
NRG-BR004,2023-08-21,05:10:00,2023-08-21,05:10:00,2023-08-22,05:10:00,Daily,00:00:00,,,[B] Zip file process ran but missing files in N drive
NRG-BR005,2023-08-21,01:50:00,2023-08-21,01:50:00,2023-08-22,01:45:00,Daily,00:05:00,,,[B] Zip file process ran but missing files in N drive
NRG-BR007,2023-08-21,01:50:00,2023-08-21,01:50:00,2023-08-22,01:50:00,Daily,00:00:00,,,[B] Zip file process ran but missing files in N drive
NRG-CC003,2023-08-21,02:10:00,2023-08-21,02:10:00,2023-08-22,02:05:00,Daily,00:05:00,,,[B] Zip file process ran but missing files in N drive
NRG-CC004,2023-08-21,02:10:00,2023-08-21,02:10:00,2023-08-22,02:10:00,Daily,00:00:00,,,[B] Zip file process ran but missing files in N drive
NRG-CC005,2023-08-21,04:10:00,2023-08-21,04:10:00,2023-08-22,04:05:00,Daily,00:05:00,,,[B] Zip file process ran but missing files in N drive
NRG-CC007CD,2023-08-21,02:20:00,2023-08-21,02:20:00,2023-08-22,02:15:00,Daily,00:05:00,,,[B] Zip file process ran but missing files in N drive
NRG-CC008,2023-08-21,02:20:00,2023-08-21,02:20:00,2023-08-22,02:20:00,Daily,00:00:00,,,[B] Zip file process ran but missing files in N drive
NRG-CC009,2023-08-21,02:30:00,2023-08-21,02:30:00,2023-08-22,02:25:00,Daily,00:05:00,,,[B] Zip file process ran but missing files in N drive
NRG-CC010,2023-08-20,18:40:00,2023-08-20,18:40:00,2023-08-21,18:35:00,Daily,00:05:00,,,
