Study ID,Last Run Date,Last Run Time,Last Successful Run Date,Last Successful Run Time,Next Run Date,Next Run Time,Occurrence,Estimated Execution Time,N: File Count,N: Total File Size (MB),Number of Stale Data Files Detected,Problem Detected
EAY191-N4,2023-12-20,00:30:00,2023-12-20,00:30:00,2023-12-21,00:30:00,Daily,00:00:00,68,27.83,0,
NRG-BN001,2023-12-20,01:00:00,2023-12-20,01:00:00,2023-12-21,01:00:00,Daily,00:00:00,61,1009.07,0,
NRG-BN002,2023-12-19,01:30:00,2023-12-19,01:30:00,2023-12-26,01:05:00,Weekly,00:25:00,0,,0,
NRG-BN003,2023-12-20,02:20:00,2023-12-20,02:20:00,2023-12-21,02:10:00,Daily,00:10:00,53,103.5,0,
NRG-BN005,2023-12-20,01:20:00,2023-12-20,01:20:00,2023-12-21,01:15:00,Daily,00:05:00,62,139.21,0,
NRG-BN007,2023-12-20,01:20:00,2023-12-20,01:20:00,2023-12-21,01:20:00,Daily,00:00:00,73,901.25,0,
NRG-BN009,2023-12-20,01:00:00,2023-12-20,01:00:00,2023-12-21,00:55:00,Daily,00:05:00,65,17.0,0,
NRG-BN010,2023-12-20,04:00:00,2023-12-20,04:00:00,2023-12-21,03:59:00,Daily,00:01:00,63,38.69,0,
NRG-BN011,2023-12-19,23:30:00,2023-12-19,23:30:00,2023-12-20,23:24:57,Daily,00:05:03,62,246.76,0,
NRG-BN012,2023-12-20,07:50:00,2023-12-20,07:50:00,2023-12-21,07:45:00,Daily,00:05:00,51,31.57,0,
NRG-BR001,2023-12-19,01:30:00,2023-12-19,01:30:00,2023-12-26,01:25:00,Weekly,00:05:00,0,,0,
NRG-BR002,2023-12-20,02:30:00,2023-12-20,02:30:00,2023-12-21,02:30:00,Daily,00:00:00,55,123.46,0,
NRG-BR003,2023-12-19,01:40:00,2023-12-19,01:40:00,2023-12-26,01:35:00,Weekly,00:05:00,0,,0,
NRG-BR004,2023-12-20,05:10:00,2023-12-20,05:10:00,2023-12-21,05:10:00,Daily,00:00:00,88,2677.49,0,
NRG-BR005,2023-12-20,01:50:00,2023-12-20,01:50:00,2023-12-21,01:45:00,Daily,00:05:00,35,27.31,0,
NRG-BR007,2023-12-20,01:50:00,2023-12-20,01:50:00,2023-12-21,01:50:00,Daily,00:00:00,72,480.2,0,
NRG-BR008,2023-12-19,23:20:00,2023-12-19,23:20:00,2023-12-20,23:20:00,Daily,00:00:00,70,5.13,0,
NRG-CC003,2023-12-20,02:20:00,2023-12-20,02:20:00,2023-12-21,02:05:00,Daily,00:15:00,82,541.53,0,
