Study ID,Last Run Date,Last Run Time,Last Successful Run Date,Last Successful Run Time,Next Run Date,Next Run Time,Occurrence,Estimated Execution Time,N: File Count,N: Total File Size (MB),Problem Detected
NRG-BN001,2022-04-20,01:13:51,2022-04-20,01:13:51,2022-04-21,01:00:00,Daily,00:13:51,61.0,886.27,
NRG-BN002,2022-04-19,01:23:51,2022-04-19,01:23:51,2022-04-26,01:05:00,Weekly,00:18:51,,,
NRG-BN003,2022-04-20,01:13:51,2022-04-20,01:13:51,2022-04-21,01:10:00,Daily,00:03:51,51.0,82.86,
NRG-BN005,2022-04-20,01:33:51,2022-04-20,01:33:51,2022-04-21,01:15:00,Daily,00:18:51,62.0,91.35,
NRG-BN007,2022-04-20,01:33:51,2022-04-20,01:33:51,2022-04-21,01:20:00,Daily,00:13:51,73.0,591.67,
NRG-BN009,2022-04-20,01:13:51,2022-04-20,01:13:51,2022-04-21,00:55:00,Daily,00:18:51,65.0,32.58,
NRG-BN010,2022-04-20,04:03:51,2022-04-20,04:03:51,2022-04-21,03:59:00,Daily,00:04:51,63.0,31.2,
NRG-BN011,2022-04-19,23:26:48,2022-04-19,23:26:48,2022-04-20,23:24:57,Daily,00:01:51,62.0,30.17,
NRG-BR001,2022-04-19,01:43:51,2022-04-19,01:43:51,2022-04-26,01:25:00,Weekly,00:18:51,,,
NRG-BR002,2022-04-20,02:33:51,2022-04-20,02:33:51,2022-04-21,02:30:00,Daily,00:03:51,55.0,134.48,
NRG-BR003,2022-04-19,01:43:51,2022-04-19,01:43:51,2022-04-26,01:35:00,Weekly,00:08:51,,,
NRG-BR004,2022-04-20,01:43:51,2022-04-20,01:43:51,2022-04-21,01:40:00,Daily,00:03:51,79.0,2367.38,
NRG-BR005,2022-04-20,01:53:51,2022-04-20,01:53:51,2022-04-21,01:45:00,Daily,00:08:51,33.0,36.59,
NRG-BR007,2022-04-20,01:53:51,2022-04-20,01:53:51,2022-04-21,01:50:00,Daily,00:03:51,72.0,98.24,
NRG-CC003,2022-04-20,02:13:51,2022-04-20,02:13:51,2022-04-21,02:05:00,Daily,00:08:51,82.0,489.62,
NRG-CC004,2022-04-20,02:13:51,2022-04-20,02:13:51,2022-04-21,02:10:00,Daily,00:03:51,43.0,235.03,
NRG-CC007CD,2022-04-20,02:23:51,2022-04-20,02:23:51,2022-04-21,02:15:00,Daily,00:08:51,34.0,137.16,
NRG-CC008,2022-04-20,02:23:51,2022-04-20,02:23:51,2022-04-21,02:20:00,Daily,00:03:51,63.0,117.42,
NRG-CC009,2022-04-20,02:33:51,2022-04-20,02:33:51,2022-04-21,02:25:00,Daily,00:08:51,65.0,39.48,
NRG-DT001,2022-04-20,02:33:51,2022-04-20,02:33:51,2022-04-21,02:30:00,Daily,00:03:51,52.0,131.37,
NRG-GI002,2022-04-19,02:43:51,2022-04-19,02:43:51,2022-04-26,02:35:00,Weekly,00:08:51,,,
NRG-GI003,2022-04-20,02:43:52,2022-04-20,02:43:52,2022-04-21,02:40:00,Daily,00:03:52,48.0,120.78,
NRG-GI004,2022-04-20,02:53:51,2022-04-20,02:53:51,2022-04-21,02:50:00,Daily,00:03:51,53.0,326.31,
NRG-GI005,2022-04-19,03:03:51,2022-04-19,03:03:51,2022-04-26,02:55:00,Weekly,00:08:51,,,
NRG-GI006,2022-04-20,03:13:51,2022-04-20,03:13:51,2022-04-21,03:00:00,Daily,00:13:51,73.0,257.4,
NRG-GI007,2022-04-20,04:43:51,2022-04-20,04:43:51,2022-04-21,04:40:00,Daily,00:03:51,51.0,27.45,
NRG-GU002,2022-04-20,03:13:51,2022-04-20,03:13:51,2022-04-21,03:05:00,Daily,00:08:51,49.0,210.1,
NRG-GU003,2022-04-20,03:13:51,2022-04-20,03:13:51,2022-04-21,03:10:00,Daily,00:03:51,47.0,242.44,
