Study ID,Last Run Date,Last Run Time,Last Successful Run Date,Last Successful Run Time,Next Run Date,Next Run Time,Occurrence,Estimated Execution Time,N: File Count,N: Total File Size (MB),Problem Detected
NRG-BN001,2023-03-30,01:03:51,2023-03-30,01:03:51,2023-03-31,01:00:00,Daily,00:03:51,61.0,919.79,
NRG-BN002,2023-03-28,01:23:51,2023-03-28,01:23:51,2023-04-04,01:05:00,Weekly,00:18:51,,,
NRG-BN003,2023-03-30,01:13:51,2023-03-30,01:13:51,2023-03-31,01:10:00,Daily,00:03:51,51.0,85.35,
NRG-BN005,2023-03-30,01:23:51,2023-03-30,01:23:51,2023-03-31,01:15:00,Daily,00:08:51,62.0,107.45,
NRG-BN007,2023-03-30,01:23:51,2023-03-30,01:23:51,2023-03-31,01:20:00,Daily,00:03:51,73.0,868.69,
NRG-BN009,2023-03-30,01:03:51,2023-03-30,01:03:51,2023-03-31,00:55:00,Daily,00:08:51,65.0,9.74,
NRG-BN010,2023-03-30,04:03:51,2023-03-30,04:03:51,2023-03-31,03:59:00,Daily,00:04:51,63.0,18.82,
NRG-BN011,2023-03-30,00:13:51,2023-03-30,00:13:51,2023-03-30,23:24:57,Daily,23:11:06,62.0,80.64,
NRG-BN012,2023-03-30,07:53:51,2023-03-30,07:53:51,2023-03-31,07:45:00,Daily,00:08:51,51.0,5.0,
NRG-BR001,2023-03-28,01:33:51,2023-03-28,01:33:51,2023-04-04,01:25:00,Weekly,00:08:51,,,
NRG-BR002,2023-03-30,02:33:51,2023-03-30,02:33:51,2023-03-31,02:30:00,Daily,00:03:51,55.0,120.26,
NRG-BR003,2023-03-28,01:43:51,2023-03-28,01:43:51,2023-04-04,01:35:00,Weekly,00:08:51,,,
NRG-BR004,2023-03-30,05:13:51,2023-03-30,05:13:51,2023-03-31,05:10:00,Daily,00:03:51,88.0,2651.11,
NRG-BR005,2023-03-30,01:53:51,2023-03-30,01:53:51,2023-03-31,01:45:00,Daily,00:08:51,33.0,25.09,
NRG-BR007,2023-03-30,01:53:51,2023-03-30,01:53:51,2023-03-31,01:50:00,Daily,00:03:51,72.0,328.6,
NRG-CC003,2023-03-30,02:13:51,2023-03-30,02:13:51,2023-03-31,02:05:00,Daily,00:08:51,82.0,527.26,
NRG-CC004,2023-03-30,02:13:51,2023-03-30,02:13:51,2023-03-31,02:10:00,Daily,00:03:51,43.0,229.14,
NRG-CC005,2023-03-30,04:13:51,2023-03-30,04:13:51,2023-03-31,04:05:00,Daily,00:08:51,46.0,98.69,
NRG-CC007CD,2023-03-30,02:23:51,2023-03-30,02:23:51,2023-03-31,02:15:00,Daily,00:08:51,34.0,161.7,
NRG-CC008,2023-03-30,02:23:51,2023-03-30,02:23:51,2023-03-31,02:20:00,Daily,00:03:51,63.0,207.48,
NRG-CC009,2023-03-30,02:33:51,2023-03-30,02:33:51,2023-03-31,02:25:00,Daily,00:08:51,65.0,44.92,
NRG-CC010,2023-03-29,18:33:51,2023-03-29,18:33:51,2023-03-30,18:35:00,Daily,00:01:09,43.0,2.55,
NRG-DT001,2023-03-30,02:33:51,2023-03-30,02:33:51,2023-03-31,02:30:00,Daily,00:03:51,54.0,126.99,
NRG-GI002,2023-03-28,02:43:51,2023-03-28,02:43:51,2023-04-04,02:35:00,Weekly,00:08:51,,,
NRG-GI003,2023-03-30,02:43:51,2023-03-30,02:43:51,2023-03-31,02:40:00,Daily,00:03:51,48.0,147.86,
NRG-GI004,2023-03-30,02:53:51,2023-03-30,02:53:51,2023-03-31,02:50:00,Daily,00:03:51,53.0,391.52,
NRG-GI005,2023-03-28,03:03:51,2023-03-28,03:03:51,2023-04-04,02:55:00,Weekly,00:08:51,,,
NRG-GI006,2023-03-30,03:03:51,2023-03-30,03:03:51,2023-03-31,03:00:00,Daily,00:03:51,73.0,329.89,
NRG-GI007,2023-03-30,04:43:51,2023-03-30,04:43:51,2023-03-31,04:40:00,Daily,00:03:51,51.0,9.97,
NRG-GI008,2023-03-30,03:43:51,2023-03-30,03:43:51,2023-03-31,03:43:00,Daily,00:00:51,60.0,42.77,
NRG-GU002,2023-03-30,03:13:51,2023-03-30,03:13:51,2023-03-31,03:05:00,Daily,00:08:51,49.0,228.13,
NRG-GU003,2023-03-30,03:13:51,2023-03-30,03:13:51,2023-03-31,03:10:00,Daily,00:03:51,47.0,245.02,
NRG-GU005,2023-03-30,03:23:51,2023-03-30,03:23:51,2023-03-31,03:15:00,Daily,00:08:51,54.0,656.83,
NRG-GU006,2023-03-30,03:23:51,2023-03-30,03:23:51,2023-03-31,03:20:00,Daily,00:03:51,50.0,433.29,
NRG-GU007,2023-03-30,03:33:51,2023-03-30,03:33:51,2023-03-31,03:25:00,Daily,00:08:51,44.0,70.3,
NRG-GU008,2023-03-30,03:33:51,2023-03-30,03:33:51,2023-03-31,03:30:00,Daily,00:03:51,59.0,246.36,
NRG-GU009,2023-03-30,04:43:51,2023-03-30,04:43:51,2023-03-31,04:35:00,Daily,00:08:51,81.0,659.06,
NRG-GU010,2023-03-30,04:53:51,2023-03-30,04:53:51,2023-03-31,04:45:00,Daily,00:08:51,60.0,185.51,
NRG-GU011,2023-03-30,04:23:51,2023-03-30,04:23:51,2023-03-31,04:15:00,Daily,00:08:51,58.0,42.8,
NRG-GU012,2023-02-15,16:43:51,,,2023-02-15,16:51:56.963000,Daily,,,,
NRG-GU012,2023-03-30,07:53:51,,,2023-03-31,07:50:00,Daily,,,,
NRG-GY003,2023-03-28,01:03:51,2023-03-28,01:03:51,2023-04-04,00:55:00,Weekly,00:08:51,,,
NRG-GY004,2023-03-28,01:03:51,2023-03-28,01:03:51,2023-04-04,00:50:00,Weekly,00:13:51,,,
NRG-GY005,2023-03-30,01:03:51,2023-03-30,01:03:51,2023-03-31,00:45:00,Daily,00:18:51,67.0,3165.66,
NRG-GY006,2023-03-30,00:43:51,2023-03-30,00:43:51,2023-03-31,00:40:00,Daily,00:03:51,71.0,1784.96,
NRG-GY007,2023-03-30,00:43:51,2023-03-30,00:43:51,2023-03-31,00:35:00,Daily,00:08:51,83.0,1061.24,
NRG-GY009,2023-03-30,00:43:51,2023-03-30,00:43:51,2023-03-31,00:30:00,Daily,00:13:51,77.0,2909.72,
NRG-GY012,2023-03-30,00:43:51,2023-03-30,00:43:51,2023-03-31,00:25:00,Daily,00:18:51,61.0,1067.76,
NRG-GY014,2023-03-30,00:43:51,2023-03-30,00:43:51,2023-03-31,00:20:00,Daily,00:23:51,60.0,254.06,
NRG-GY016,2023-03-30,00:43:51,2023-03-30,00:43:51,2023-03-31,00:15:00,Daily,00:28:51,61.0,106.31,
NRG-GY017,2023-03-30,00:13:51,2023-03-30,00:13:51,2023-03-31,00:10:00,Daily,00:03:51,71.0,208.18,
NRG-GY018,2023-03-30,00:13:51,2023-03-30,00:13:51,2023-03-31,00:05:00,Daily,00:08:51,84.0,14043.36,
NRG-GY019,2023-03-30,00:13:51,2023-03-30,00:13:51,2023-03-31,00:00:00,Daily,00:13:51,58.0,1657.29,
NRG-GY020,2023-03-30,00:43:51,2023-03-30,00:43:51,2023-03-31,00:30:00,Daily,00:13:51,67.0,458.72,
NRG-GY021,2023-03-30,00:13:51,2023-03-30,00:13:51,2023-03-30,23:50:00,Daily,23:36:09,64.0,330.81,
NRG-GY022,2023-03-30,00:13:51,2023-03-30,00:13:51,2023-03-30,23:45:00,Daily,23:31:09,32.0,109.14,
NRG-GY023,2023-03-30,00:13:51,2023-03-30,00:13:51,2023-03-30,23:40:00,Daily,23:26:09,66.0,338.3,
NRG-GY024,2023-03-30,00:13:51,2023-03-30,00:13:51,2023-03-30,23:30:00,Daily,23:16:09,13.0,0.43,
NRG-GY025,2023-03-30,00:13:51,2023-03-30,00:13:51,2023-03-30,23:35:00,Daily,23:21:09,64.0,14.11,
NRG-GY026,2023-03-30,01:43:51,2023-03-30,01:43:51,2023-03-31,01:37:00,Daily,00:06:51,72.0,27.3,
NRG-GY027,2023-03-30,00:13:51,2023-03-30,00:13:51,2023-03-30,23:25:00,Daily,23:11:09,68.0,11.74,
NRG-HN001,2023-03-30,05:03:51,2023-03-30,05:03:51,2023-03-31,05:00:00,Daily,00:03:51,71.0,2455.26,
NRG-HN002,2023-03-24,06:13:51,2023-03-24,06:13:51,2023-03-31,06:05:00,Weekly,00:08:51,,,
NRG-HN003,2023-03-28,05:13:51,2023-03-28,05:13:51,2023-04-04,05:10:00,Weekly,00:03:51,,,
NRG-HN004,2023-03-30,05:23:51,2023-03-30,05:23:51,2023-03-31,05:15:00,Daily,00:08:51,74.0,1427.89,
NRG-HN005,2023-03-30,05:23:51,2023-03-30,05:23:51,2023-03-31,05:20:00,Daily,00:03:51,72.0,1204.74,
NRG-HN006,2023-03-29,21:43:51,2023-03-29,21:43:51,2023-03-30,21:04:03,Daily,00:39:48,76.0,156.45,
NRG-HN007,2023-03-30,05:33:51,2023-03-30,05:33:51,2023-03-31,05:30:00,Daily,00:03:51,53.0,71.89,
NRG-HN008,2023-03-30,04:53:51,2023-03-30,04:53:51,2023-03-31,04:50:00,Daily,00:03:51,53.0,29.56,
